,distance,name,popularity,rating,latitude,longitude,category
1,91,The Stag's Head,0.9956296952212288,9.1,53.343034,-6.263578,Beer Bar
2,103,The George,0.994744208632066,8.2,53.343034,-6.263578,Night Club
3,112,Grogan's Castle Lounge,0.990459596103859,8.3,53.343034,-6.263578,Lounge
4,129,Reyna,0.9765203233454255,8.0,53.343034,-6.263578,Turkish Restaurant
5,135,The Bankers,0.988431546173841,7.7,53.343034,-6.263578,Pub
6,137,The Trinity,0.9920306206975349,7.5,53.343034,-6.263578,Pub
7,138,Murphys Ice Cream,0.9951726698848867,9.2,53.343034,-6.263578,Café
8,150,Millstone Restaurant,0.9925733382844412,8.6,53.343034,-6.263578,Restaurant
9,150,Foggy Dew,0.9938015938758605,7.9,53.343034,-6.263578,Pub
0,103,Ryleigh’s,0.9558113627924248,6.3,53.346867,-6.230852,Breakfast Spot
1,117,The Bottle Boy,0.9467565483161473,,53.346867,-6.230852,Pub
2,128,Elephant & Castle,0.9690650975463452,,53.346867,-6.230852,Restaurant
3,193,Bites By Kwanghi,0.9421291667856837,,53.346867,-6.230852,Restaurant
