,name,latitude,longitude,review_count,rating_avg,distance_avg,category
297,Third Floor Espresso (3FE),53.338614,-6.248606,,4.5,451.0,Public and Social Service
298,Coffeeangel,53.338614,-6.248606,,4.5,525.0,Coffee Shop
299,Cloud Picker,53.338614,-6.248606,,4.0,636.0,Coffee Shop
300,Basil,53.341833,-6.231291,22.0,3.925,46.37335991976099,Food Trucks
301,Ferrari Takeaway,53.341833,-6.231291,,3.65,231.0,Fast Food Restaurant
302,The Yacht,53.341833,-6.231291,6.0,4.075,244.24735305908106,Pubs
304,The Oarsman,53.341833,-6.231291,22.0,4.075,233.32027131190824,Pubs
307,Pause Cafe',53.341833,-6.231291,,3.3,299.0,Café
311,Gerard's,53.346637,-6.246154,,3.75,98.0,Coffee Shop
312,Windjammer Bar The,53.346637,-6.246154,,3.25,204.0,Lounge
313,Drunken Fish,53.346637,-6.246154,33.0,3.9,312.25962343460264,Korean
315,The Pig & Heifer,53.346637,-6.246154,,3.8,354.0,Café
316,Cloud Picker,53.346637,-6.246154,,4.0,367.0,Coffee Shop
317,Offbeat Donut Co,53.346637,-6.246154,,4.0,391.0,Donut Shop
318,Bread 41,53.346637,-6.246154,,4.1,415.0,Bakery
319,The Brew Dock,53.346637,-6.246154,,4.2,498.0,Bar
320,Yamamori Noodles,53.343034,-6.263578,,4.05,62.0,Japanese Restaurant
321,The Stag's Head,53.343034,-6.263578,273.0,4.525,71.89506841246148,Irish Pub
322,The George,53.343034,-6.263578,,4.1,103.0,Night Club
323,Grogan's Castle Lounge,53.343034,-6.263578,,4.15,112.0,Lounge
324,Reyna,53.343034,-6.263578,,4.0,129.0,Turkish Restaurant
325,The Bankers,53.343034,-6.263578,,3.85,135.0,Pub
326,The Trinity,53.343034,-6.263578,,3.75,137.0,Pub
327,Murphys Ice Cream,53.343034,-6.263578,,4.6,138.0,Café
328,Millstone Restaurant,53.343034,-6.263578,,4.3,150.0,Restaurant
329,Foggy Dew,53.343034,-6.263578,,3.95,150.0,Pub
330,Ryleigh’s,53.346867,-6.230852,,3.15,103.0,Breakfast Spot
334,BrewDog Outpost Dublin,53.346867,-6.230852,,3.8,195.0,Beer Bar
339,Hemidemisemiquaver Bar,53.346867,-6.230852,1.0,2.325,231.1785730077279,Cocktail Bars
341,Kings Inn,53.3547,-6.272314,,3.85,369.0,Bar
344,La Pausa Caffe,53.3547,-6.272314,,4.5,481.0,Café
345,Bonobo,53.3547,-6.272314,,4.25,500.0,Bar
346,Mr Fox Restaurant,53.3547,-6.272314,,4.1,531.0,Restaurant
347,The Black Sheep,53.3547,-6.272314,,4.35,595.0,Bar
348,KFC,53.3547,-6.272314,,3.1,607.0,Fast Food Restaurant
349,Bar 1661,53.3547,-6.272314,,4.2,612.0,Cocktail Bar
350,Odeon,53.33403,-6.260714,49.0,3.65,144.97764974295092,Restaurants
351,Dicey's Garden,53.33403,-6.260714,,3.7,296.0,Night Club
352,Brother Hubbard South,53.33403,-6.260714,,4.45,350.0,Café
353,Devitt's Pub,53.33403,-6.260714,,3.9,357.0,Pub
354,Charlemont Bar & Bistro,53.33403,-6.260714,,3.1,367.0,Hotel Bar
355,Doolally,53.33403,-6.260714,,4.05,377.0,Indian Restaurant
357,Meet Me In The Morning,53.33403,-6.260714,,4.2,393.0,Coffee Shop
358,Richmond,53.33403,-6.260714,,4.3,414.0,Restaurant
359,Whelan's,53.33403,-6.260714,,4.3,430.0,Concert Hall
361,Gerard's,53.346026,-6.243576,,3.75,91.0,Coffee Shop
363,Windjammer Bar The,53.346026,-6.243576,,3.25,332.0,Lounge
364,The Pig & Heifer,53.346026,-6.243576,23.0,3.9,340.9320829599882,Delis
365,Drunken Fish,53.346026,-6.243576,,3.8,372.0,Bar
366,MV Cill Airne,53.346026,-6.243576,,3.8,385.0,Bar
369,Offbeat Donut Co,53.346026,-6.243576,,4.0,469.0,Donut Shop
370,The Barge,53.330662,-6.260177,65.0,3.775,22.96940653378313,Pubs
371,Asahi Asian Street Food,53.330662,-6.260177,11.0,4.475,82.51429345411445,Asian Fusion
372,Charlemont Bar & Bistro,53.330662,-6.260177,8.0,3.55,64.43317255745922,Bars
373,One Kinda Folk,53.330662,-6.260177,,4.0,183.0,Coffee Shop
374,The Portobello,53.330662,-6.260177,,3.0,266.0,Pub
375,J O'Connell,53.330662,-6.260177,,4.25,274.0,Pub
376,Starbucks,53.330662,-6.260177,,3.55,290.0,Coffee Shop
377,Richmond,53.330662,-6.260177,,4.3,293.0,Restaurant
378,Grove Road,53.330662,-6.260177,,4.25,298.0,Café
379,Doolally,53.330662,-6.260177,,4.05,318.0,Indian Restaurant
384,The Patriots Inn,53.342113,-6.310015,,3.4,151.0,Karaoke Bar
386,Good Luck Chinese Take Away,53.342113,-6.310015,4.0,3.5,163.5998001743292,Fast Food
390,La Pausa Caffe,53.357043,-6.263232,,4.5,177.0,Café
391,Wood Fire Cafe,53.357043,-6.263232,8.0,4.0,187.97068115675023,Pizza
393,El Grito Mexican Taqueria,53.357043,-6.263232,,4.35,440.0,Mexican Restaurant
395,147 Deli,53.357043,-6.263232,,4.7,463.0,Café
397,Charming Noodles,53.357043,-6.263232,,3.95,476.0,Chinese Restaurant
398,The Big Romance,53.357043,-6.263232,,3.75,476.0,Cocktail Bar
399,Fibber Magees,53.357043,-6.263232,,3.85,505.0,Night Club
400,The Church,53.348875,-6.267459,296.0,3.875,57.3963066990187,Bars
401,Butlers Chocolate Café,53.348875,-6.267459,,3.7,114.0,Café
402,Slattery's,53.348875,-6.267459,,3.95,116.0,Pub
404,Woolshed Baa & Grill,53.348875,-6.267459,,3.75,139.0,Sports Bar
405,The Black Sheep,53.348875,-6.267459,,4.35,141.0,Bar
406,McNeills,53.348875,-6.267459,,4.3,144.0,Pub
407,T.P. Smiths,53.348875,-6.267459,,2.9,172.0,Pub
408,Insomnia,53.348875,-6.267459,,3.45,179.0,Coffee Shop
409,The Boars Head,53.348875,-6.267459,,3.35,184.0,Pub
413,Old Jameson Distillery,53.346874,-6.272976,,4.45,305.0,Tour Provider
414,Brother Hubbard,53.346874,-6.272976,,4.55,306.0,Café
415,The Brazen Head,53.346874,-6.272976,,4.45,306.0,Bar
416,McNeills,53.346874,-6.272976,,4.3,307.0,Pub
417,The Boars Head,53.346874,-6.272976,,3.35,307.0,Pub
418,JJ's Bar,53.346874,-6.272976,,4.15,309.0,Cocktail Bar
419,Slattery's,53.346874,-6.272976,,3.95,311.0,Pub
420,Caffè Nero,53.347932,-6.240928,,3.25,184.0,Café
421,J2 Grill & Sushi,53.347932,-6.240928,119.0,4.0,205.03354411590172,Japanese
422,Boca Coffee,53.347932,-6.240928,,3.35,202.0,Coffee Shop
423,MV Cill Airne,53.347932,-6.240928,43.0,3.9,213.69163261657326,Pubs
426,Drunken Fish,53.347932,-6.240928,33.0,3.9,277.66628808270696,Korean
427,The Diving Bell,53.347932,-6.240928,,3.2,282.0,Government Building
428,Gerard's,53.347932,-6.240928,,3.75,293.0,Coffee Shop
429,Insomnia,53.347932,-6.240928,,3.2,317.0,Café
430,Milano,53.334432,-6.245575,35.0,3.325,37.57943278012128,Italian
432,The Wellington,53.334432,-6.245575,11.0,3.375,55.256467128694126,Pubs
433,Angelina's,53.334432,-6.245575,44.0,3.85,87.73022187904982,Italian
434,Insomnia,53.334432,-6.245575,5.0,3.225,130.64638517393925,Coffee & Tea
435,Smyths (Haddington Road),53.334432,-6.245575,,3.9,155.0,Pub
436,The Waterloo Bar,53.334432,-6.245575,,3.75,195.0,Lounge
437,The 51 Bar,53.334432,-6.245575,,3.8,206.0,Lounge
438,Searson's,53.334432,-6.245575,,4.0,217.0,Pub
439,Starbucks,53.334432,-6.245575,,3.85,244.0,Coffee Shop
441,The Thomas House,53.343565,-6.275071,,3.8,126.0,Pub
447,Bittersweet,53.343565,-6.275071,,3.2,405.0,Café
448,Queen of Tarts,53.343565,-6.275071,,4.55,414.0,Bakery
449,Urbanity Coffee,53.343565,-6.275071,,4.65,449.0,Café
450,The Big Tree,53.359624,-6.260348,,3.15,47.0,Pub
453,Le Petit Breton,53.359624,-6.260348,15.0,4.25,254.59262932383513,Creperies
455,El Grito Mexican Taqueria,53.359624,-6.260348,49.0,4.425,349.092481497259,Mexican
457,Shouk,53.359624,-6.260348,,4.3,433.0,Restaurant
458,La Pausa Caffe,53.359624,-6.260348,,4.5,512.0,Café
460,Wood Fire Cafe,53.354929,-6.269425,8.0,4.0,284.78296940993516,Pizza
461,La Pausa Caffe,53.354929,-6.269425,,4.5,295.0,Café
462,Kings Inn,53.354929,-6.269425,,3.85,327.0,Bar
463,Kingfisher Restaurant,53.354929,-6.269425,,4.15,546.0,Diner
464,McDonald's,53.354929,-6.269425,,3.2,549.0,Burger Joint
465,Woolshed Baa & Grill,53.354929,-6.269425,,3.75,557.0,Sports Bar
466,The Parnell Heritage Pub & Grill,53.354929,-6.269425,,3.75,567.0,Bar
467,The Black Sheep,53.354929,-6.269425,,4.35,580.0,Bar
468,Sabor Nordestino,53.354929,-6.269425,,3.65,589.0,Brazilian Restaurant
469,Murray's Bar & Grill,53.354929,-6.269425,,4.05,609.0,Pub
471,The Silver Penny (JD Wetherspoon),53.350974,-6.25294,,3.8,320.0,Pub
473,Pipers Corner,53.350974,-6.25294,,3.55,386.0,Pub
474,The Flowing Tide,53.350974,-6.25294,,4.15,387.0,Lounge
475,One Society,53.350974,-6.25294,,3.8,417.0,Café
476,Shoe Lane Coffee,53.350974,-6.25294,,4.5,448.0,Café
477,O'reilly's Bar & Restaurant,53.350974,-6.25294,,3.75,448.0,Pub
478,"Lanigans Pub, Eden Quay",53.350974,-6.25294,,4.15,475.0,Pub
479,Starbucks,53.350974,-6.25294,,3.5,479.0,Coffee Shop
480,The Well,53.337132,-6.26059,,3.4,288.0,Bar
481,Against the Grain,53.337132,-6.26059,,4.35,327.0,Beer Bar
482,The Rolling Donut,53.337132,-6.26059,,4.0,329.0,Bagel Shop
483,Bunsen,53.337132,-6.26059,,4.5,337.0,Burger Joint
485,Devitt's Pub,53.337132,-6.26059,,3.9,367.0,Pub
486,KC Peaches,53.337132,-6.26059,,3.3,397.0,Coffee Shop
487,Harry's on the Green,53.337132,-6.26059,,3.05,408.0,Cocktail Bar
488,Cafe En Seine,53.337132,-6.26059,,3.9,415.0,Night Club
489,O'Donoghue's,53.337132,-6.26059,,4.3,446.0,Pub
491,Third Floor Espresso (3FE),53.339218,-6.240642,,4.5,122.0,Public and Social Service
492,"The Schoolhouse Hotel, Ballsbridge, Dublin 4",53.339218,-6.240642,,4.2,219.0,Pub
493,The Gasworks Bar,53.339218,-6.240642,33.0,3.1,231.66995567136757,Pubs
495,Starbucks,53.339218,-6.240642,,3.35,326.0,Coffee Shop
497,Füdi,53.339218,-6.240642,,3.05,349.0,Café
498,The Art of Coffee,53.339218,-6.240642,,4.05,351.0,Café
499,Musashi,53.339218,-6.240642,6.0,4.0,353.61798183394694,Japanese
502,Ryleigh’s,53.347122,-6.234749,,3.15,160.0,Breakfast Spot
503,MV Cill Airne,53.347122,-6.234749,43.0,3.9,213.08612557836852,Pubs
504,The Diving Bell,53.347122,-6.234749,,3.2,261.0,Government Building
505,Boca Coffee,53.347122,-6.234749,,3.35,297.0,Coffee Shop
508,Mackenzie's,53.347122,-6.234749,8.0,3.85,330.0933077672364,Pizza
509,Milano,53.347122,-6.234749,51.0,3.2,349.946494044772,Italian
511,McGowan's,53.355173,-6.278424,,3.4,338.0,Pub
517,The Back Page,53.355173,-6.278424,23.0,4.425,514.8631447850282,Pubs
